BD-12 5133.R_SPECIAL.59134       0.0412     0.0004     146.49       0.26
WD 2039-202.R_SPECIAL.59134      0.0012     0.0007     115.84      51.88
WD 0310-688.R_SPECIAL.59117      0.0004     0.0004     168.09      36.10
WD 2039-202.R_SPECIAL.60201      0.0004     0.0004     105.40      61.91
WD 2359-434.R_SPECIAL.60201      0.0012     0.0012      42.63      43.06
WD 2359-434.R_SPECIAL.60293      0.0030     0.0015      34.29      22.31
BD-12 5133.v_HIGH.60148          0.0416     0.0006     149.65       0.44
WD 1344+106.v_HIGH.60148         0.0015     0.0010     150.55      32.47
WD 1344+106.I_BESS.60148         0.0015     0.0010      70.73      53.75
BD-14 4922.I_BESS.60238          0.1008     0.0005      53.95       0.12
Vela1.I_BESS.60238               0.0712     0.0004     169.84       0.17
WD 2359-434.I_BESS.60201         0.0023     0.0013      20.17      22.42
