	V-FORS
Wavelength (nm)	%T
1500	85.14582062
1498	84.84659576
1496	83.9454422
1494	82.38260651
1492	80.31614685
1490	77.93000031
1488	75.20632935
1486	72.15299988
1484	69.06266785
1482	66.07555389
1480	62.95996475
1478	60.03909302
1476	57.22245026
1474	54.63136292
1472	52.24343491
1470	49.9526825
1468	47.90003967
1466	46.05545807
1464	44.36426544
1462	42.91498184
1460	41.66532898
1458	40.63182831
1456	39.76731491
1454	39.06716537
1452	38.5803299
1450	38.24334717
1448	38.10855484
1446	38.14801788
1444	38.38237381
1442	38.83293533
1440	39.46205521
1438	40.31904221
1436	41.45688629
1434	42.81906891
1432	44.447258
1430	46.40145111
1428	48.61299515
1426	51.23509216
1424	54.13506699
1422	57.38734055
1420	60.90882874
1418	64.78942871
1416	68.74472809
1414	72.90367889
1412	76.63879395
1410	79.905159
1408	82.45231628
1406	83.83166504
1404	83.87177277
1402	82.66444397
1400	79.83139038
1398	76.11293793
1396	71.84764862
1394	66.69001007
1392	61.72270203
1390	56.89042664
1388	52.26302338
1386	48.0943985
1384	44.26350403
1382	40.64919281
1380	37.53752899
1378	34.89413452
1376	32.56639481
1374	30.61376572
1372	29.02736664
1370	27.61525154
1368	26.56432915
1366	25.70393372
1364	25.08076668
1362	24.76478004
1360	24.56497192
1358	24.67775917
1356	25.01252937
1354	25.652174
1352	26.53670311
1350	27.79262924
1348	29.42512131
1346	31.50794792
1344	34.13125229
1342	37.37172318
1340	41.33596039
1338	46.16455841
1336	51.61445236
1334	57.58610916
1332	63.83140564
1330	69.23361206
1328	72.41505432
1326	72.33885193
1324	68.90828705
1322	62.66629791
1320	54.94403076
1318	47.09540176
1316	40.01039124
1314	33.95640945
1312	29.04515839
1310	25.06720352
1308	21.94300652
1306	19.47363853
1304	17.56951141
1302	16.14670372
1300	15.12147617
1298	14.44487
1296	14.09124851
1294	14.08737564
1292	14.48989201
1290	15.40969944
1288	17.09161186
1286	19.83994102
1284	24.46977997
1282	32.10145569
1280	44.14286804
1278	57.74145126
1276	58.0520401
1274	39.76269913
1272	21.48149109
1270	11.7471056
1268	6.662273407
1266	4.011335373
1264	2.557645082
1262	1.694979191
1260	1.169291258
1258	0.828546763
1256	0.602594316
1254	0.447015792
1252	0.340493292
1250	0.259911954
1248	0.204989225
1246	0.156316623
1244	0.132819608
1242	0.10161148
1240	0.082027659
1238	0.068192706
1236	0.062937699
1234	0.05012529
1232	0.042497583
1230	0.035460964
1228	0.030782994
1226	0.026809001
1224	0.023031868
1222	0.027430585
1220	0.022078222
1218	0.020889621
1216	0.022716068
1214	0.010223798
1212	0.01779544
1210	0.016822107
1208	0.014618049
1206	0.012499016
1204	0.015208153
1202	0.012328278
1200	0.01141498
1198	0.011541872
1196	0.01233568
1194	0.009654281
1192	0.012440822
1190	0.011953451
1188	0.01168112
1186	0.010424552
1184	0.00805391
1182	0.007349281
1180	0.01233076
1178	0.010585977
1176	0.010161691
1174	0.012737608
1172	0.009237584
1170	0.019596288
1168	0.004692459
1166	0.007929273
1164	0.006961339
1162	0.007535271
1160	0.011376841
1158	0.010618483
1156	0.01063831
1154	0.007545579
1152	0.009652697
1150	0.010047806
1148	0.009496655
1146	0.011983905
1144	0.007331522
1142	0.004071328
1140	0.012394946
1138	0.009097258
1136	0.009709666
1134	0.007125464
1132	0.008260131
1130	0.01129186
1128	0.015452039
1126	0.01161844
1124	0.007394291
1122	0.008889797
1120	0.010693244
1118	0.018733136
1116	0.00412881
1114	0.005879832
1112	0.0168065
1110	0.003947502
1108	0.007990456
1106	0.012791159
1104	0.01105208
1102	0.007647752
1100	0.008514022
1098	0.012675405
1096	0.002353404
1094	0.013230925
1092	0.010100793
1090	0.010097955
1088	0.011427918
1086	0.010667792
1084	0.009725768
1082	0.011630311
1080	0.005203908
1078	0.009450159
1076	0.014206559
1074	0.009310446
1072	0.006823269
1070	0.010505767
1068	0.007993395
1066	0.003581313
1064	0.009546262
1062	0.008897605
1060	0.005430351
1058	0.008366221
1056	0.006871413
1054	0.011832828
1052	0.006471933
1050	0.007882135
1048	0.011392022
1046	0.007900748
1044	0.007808888
1042	0.009331288
1040	0.009413161
1038	0.012485525
1036	0.001673278
1034	0.008663772
1032	0.008035885
1030	0.00649629
1028	0.014209599
1026	0.008698022
1024	0.011466275
1022	0.008488109
1020	0.009237234
1018	0.009658795
1016	0.007765177
1014	0.00768707
1012	0.009839594
1010	0.007968836
1008	0.006179863
1006	0.007931352
1004	0.005831609
1002	0.009209485
1000	0.006988659
998	0.007167209
996	0.014074624
994	0.010787723
992	0.00740838
990	0.012908664
988	0.006926779
986	0.007646747
984	0.009434284
982	0.008687674
980	0.004072839
978	0.011584396
976	0.00856026
974	0.007925426
972	0.00876415
970	0.010327234
968	0.008309182
966	0.00808314
964	0.003127708
962	0.009354645
960	0.010151651
958	0.011570728
956	0.008140426
